record_id,employee_id,training_name,completion_date,score
1,1,DEI Workshop,2025-05-08,
2,1,Customer Service Excellence,2023-01-12,83.0
3,2,Data Privacy,2016-02-21,93.0
4,2,Project Management,2019-05-25,77.0
5,3,Python Basics,2018-05-17,91.0
6,4,Project Management,2020-06-03,73.0
7,4,Financial Analysis,2024-05-13,91.0
8,4,Leadership 101,2019-09-30,
9,4,Sales Negotiation,2018-05-02,88.0
10,6,DEI Workshop,2022-12-13,78.0
11,6,Data Privacy,2024-04-08,100.0
12,7,DEI Workshop,2025-05-12,72.0
13,8,Customer Service Excellence,2024-11-02,83.0
14,9,DEI Workshop,2020-09-12,
15,9,Customer Service Excellence,2024-03-12,90.0
16,9,Financial Analysis,2024-05-03,96.0
17,9,Python Basics,2020-07-23,
18,10,Python Basics,2020-07-23,82.0
19,10,Customer Service Excellence,2016-10-09,95.0
20,11,Sales Negotiation,2023-02-02,63.0
21,11,Project Management,2018-11-04,79.0
22,11,Python Basics,2019-04-19,
23,11,Customer Service Excellence,2025-05-28,93.0
24,12,Python Basics,2021-10-07,95.0
25,12,Sales Negotiation,2022-03-16,
26,13,Python Basics,2022-06-26,
27,13,Financial Analysis,2021-10-22,
28,14,DEI Workshop,2017-07-19,
29,14,Project Management,2024-06-03,76.0
30,14,Financial Analysis,2024-07-13,96.0
31,14,Leadership 101,2021-11-25,61.0
32,15,Financial Analysis,2024-12-29,85.0
33,15,DEI Workshop,2023-12-15,63.0
34,15,Sales Negotiation,2023-03-04,90.0
35,16,Customer Service Excellence,2021-12-01,80.0
36,16,Sales Negotiation,2025-03-24,82.0
37,16,Financial Analysis,2023-05-07,
38,17,Python Basics,2020-03-07,77.0
39,17,Sales Negotiation,2022-07-06,66.0
40,19,Project Management,2024-12-09,70.0
41,19,Data Privacy,2025-03-20,96.0
42,20,Customer Service Excellence,2023-12-16,92.0
43,20,Project Management,2024-10-26,79.0
44,21,Leadership 101,2024-03-30,75.0
45,21,Data Privacy,2023-06-07,63.0
46,21,Customer Service Excellence,2022-12-20,98.0
47,22,Financial Analysis,2020-01-08,76.0
48,22,Data Privacy,2022-12-01,83.0
49,22,Leadership 101,2019-04-28,96.0
50,23,Customer Service Excellence,2017-07-26,88.0
51,23,Sales Negotiation,2025-04-24,99.0
52,23,Financial Analysis,2024-05-15,68.0
53,23,Project Management,2017-10-29,81.0
54,24,DEI Workshop,2025-04-01,92.0
55,24,Project Management,2023-09-04,
56,24,Python Basics,2023-12-12,90.0
57,24,Data Privacy,2025-01-06,98.0
58,25,Sales Negotiation,2017-12-19,99.0
59,25,Data Privacy,2024-06-08,97.0
60,25,Financial Analysis,2019-12-01,92.0
61,25,Project Management,2022-02-11,96.0
62,26,Data Privacy,2019-06-13,67.0
63,26,Project Management,2023-12-07,100.0
64,28,Data Privacy,2025-01-02,63.0
65,28,Sales Negotiation,2025-01-15,93.0
66,28,DEI Workshop,2025-04-18,84.0
67,28,Financial Analysis,2022-08-06,75.0
68,30,Python Basics,2024-01-23,86.0
69,30,Data Privacy,2025-02-12,92.0
70,30,Leadership 101,2025-05-09,90.0
71,30,Customer Service Excellence,2025-03-30,68.0
72,31,Customer Service Excellence,2023-12-17,71.0
73,31,Financial Analysis,2023-08-04,81.0
74,31,Sales Negotiation,2024-01-28,76.0
75,31,Data Privacy,2024-06-07,75.0
76,32,Financial Analysis,2025-05-14,73.0
77,32,Python Basics,2025-05-27,80.0
78,33,DEI Workshop,2018-12-13,96.0
79,33,Financial Analysis,2023-06-21,85.0
80,33,Data Privacy,2025-01-22,69.0
81,34,Leadership 101,2019-03-04,88.0
82,34,Sales Negotiation,2021-02-28,73.0
83,35,Financial Analysis,2025-02-01,68.0
84,37,Customer Service Excellence,2023-07-14,63.0
85,37,Python Basics,2023-03-07,90.0
86,37,Leadership 101,2023-03-07,68.0
87,37,Financial Analysis,2022-11-30,70.0
88,38,Data Privacy,2017-09-30,78.0
89,38,Customer Service Excellence,2019-02-11,63.0
90,38,DEI Workshop,2024-02-18,
91,39,Customer Service Excellence,2019-07-09,71.0
92,39,Financial Analysis,2017-12-17,85.0
93,39,DEI Workshop,2023-02-10,
94,39,Leadership 101,2020-10-19,60.0
95,40,Python Basics,2019-01-31,94.0
96,40,Sales Negotiation,2021-10-09,68.0
97,41,Data Privacy,2025-03-07,
98,41,Sales Negotiation,2025-05-11,71.0
99,41,Python Basics,2024-09-26,78.0
100,41,Leadership 101,2024-12-26,
101,42,Project Management,2020-03-26,66.0
102,42,Financial Analysis,2021-05-01,90.0
103,42,Sales Negotiation,2022-11-21,60.0
104,43,Project Management,2022-08-03,81.0
105,43,Python Basics,2021-10-11,96.0
106,45,DEI Workshop,2019-06-22,
107,45,Data Privacy,2018-02-24,70.0
108,46,Financial Analysis,2022-04-17,74.0
109,46,DEI Workshop,2021-06-10,90.0
110,46,Leadership 101,2020-09-13,98.0
111,47,Project Management,2025-02-26,73.0
112,47,DEI Workshop,2023-11-26,98.0
113,49,Data Privacy,2022-09-14,67.0
114,49,Financial Analysis,2022-08-12,92.0
115,49,DEI Workshop,2023-05-27,69.0
116,49,Sales Negotiation,2023-03-10,93.0
117,50,Python Basics,2025-02-06,92.0
118,50,DEI Workshop,2024-04-30,89.0
119,50,Data Privacy,2022-07-28,89.0
120,51,Leadership 101,2025-01-10,
121,51,Financial Analysis,2019-10-09,73.0
122,51,Customer Service Excellence,2023-05-27,
123,51,Sales Negotiation,2021-09-01,64.0
124,52,Leadership 101,2023-12-24,68.0
125,52,Data Privacy,2025-04-28,86.0
126,52,Customer Service Excellence,2024-03-23,84.0
127,52,Project Management,2024-06-07,84.0
128,53,Python Basics,2022-11-17,
129,53,DEI Workshop,2020-09-24,
130,53,Project Management,2022-11-09,68.0
131,54,Leadership 101,2019-07-06,89.0
132,55,Project Management,2025-05-21,69.0
133,55,Financial Analysis,2025-05-22,
134,55,Customer Service Excellence,2025-06-01,67.0
135,55,Python Basics,2025-05-18,86.0
136,56,Leadership 101,2022-12-31,88.0
137,56,Python Basics,2024-05-23,63.0
138,56,Project Management,2023-05-27,85.0
139,56,Data Privacy,2023-12-12,73.0
140,58,Financial Analysis,2021-04-06,96.0
141,59,DEI Workshop,2020-12-14,93.0
142,59,Python Basics,2020-01-18,77.0
143,61,Sales Negotiation,2025-01-21,
144,61,DEI Workshop,2023-05-12,84.0
145,61,Project Management,2025-05-19,86.0
146,61,Customer Service Excellence,2024-01-29,
147,62,Sales Negotiation,2021-01-19,74.0
148,62,Project Management,2019-02-11,69.0
149,62,Financial Analysis,2024-10-11,63.0
150,63,Project Management,2025-04-15,76.0
151,63,Customer Service Excellence,2025-04-24,65.0
152,63,Financial Analysis,2025-05-25,65.0
153,63,DEI Workshop,2025-04-22,
154,64,Leadership 101,2024-12-16,97.0
155,64,Project Management,2025-05-02,73.0
156,64,Data Privacy,2025-02-28,81.0
157,65,Leadership 101,2020-08-28,67.0
158,65,Python Basics,2023-11-24,98.0
159,66,Project Management,2023-09-10,78.0
160,67,Data Privacy,2023-06-19,83.0
161,67,Financial Analysis,2025-03-09,89.0
162,67,DEI Workshop,2020-07-16,90.0
163,68,Customer Service Excellence,2021-11-24,96.0
164,68,Sales Negotiation,2024-12-27,69.0
165,70,Project Management,2019-06-23,
166,70,Sales Negotiation,2020-05-06,75.0
167,71,DEI Workshop,2025-05-08,91.0
168,71,Sales Negotiation,2023-11-17,
169,71,Customer Service Excellence,2023-04-09,
170,72,Data Privacy,2023-10-28,
171,72,Python Basics,2018-10-12,63.0
172,72,Financial Analysis,2018-01-07,100.0
173,72,Leadership 101,2020-07-16,
174,73,Leadership 101,2022-10-12,83.0
175,75,Data Privacy,2019-07-21,86.0
176,75,DEI Workshop,2019-08-11,
177,75,Customer Service Excellence,2022-07-23,78.0
178,75,Leadership 101,2019-09-02,87.0
179,76,Python Basics,2018-07-16,75.0
180,77,Financial Analysis,2025-04-14,85.0
181,79,Project Management,2024-12-30,74.0
182,79,Customer Service Excellence,2025-01-28,65.0
183,82,Project Management,2025-01-26,
184,82,Customer Service Excellence,2019-11-03,65.0
185,82,Financial Analysis,2025-05-04,81.0
186,83,Python Basics,2018-01-30,96.0
187,83,Financial Analysis,2021-01-16,64.0
188,83,Leadership 101,2023-05-22,94.0
189,83,Data Privacy,2022-01-12,71.0
190,84,Leadership 101,2020-11-23,85.0
191,84,Python Basics,2020-02-22,96.0
192,85,Project Management,2024-01-17,81.0
193,86,Sales Negotiation,2018-09-12,82.0
194,86,Project Management,2018-06-02,
195,86,DEI Workshop,2020-06-02,81.0
196,87,Project Management,2025-01-12,88.0
197,87,Data Privacy,2025-05-04,95.0
198,87,Sales Negotiation,2025-03-06,97.0
199,87,Leadership 101,2025-03-08,
200,88,Financial Analysis,2022-11-10,84.0
201,88,Project Management,2024-08-15,69.0
202,88,Python Basics,2024-09-13,83.0
203,88,Leadership 101,2022-12-05,
204,89,Data Privacy,2024-10-27,68.0
205,89,Sales Negotiation,2017-04-06,
206,90,Project Management,2024-12-25,65.0
207,90,Leadership 101,2025-05-04,80.0
