record_id,employee_id,training_name,completion_date,score
1,1,DEI Workshop,2025-05-08,
2,1,Customer Service Excellence,2023-01-12,83
3,2,Data Privacy,2016-02-21,93
4,2,Project Management,2019-05-25,77
5,3,Python Basics,2018-05-17,91
6,4,Project Management,2020-06-03,73
7,4,Financial Analysis,2024-05-13,91
8,4,Leadership 101,2019-09-30,
9,4,Sales Negotiation,2018-05-02,88
10,6,DEI Workshop,2022-12-13,78
11,6,Data Privacy,2024-04-08,100
12,7,DEI Workshop,2025-05-12,72
13,8,Customer Service Excellence,2024-11-02,83
14,9,DEI Workshop,2020-09-12,
15,9,Customer Service Excellence,2024-03-12,90
16,9,Financial Analysis,2024-05-03,96
17,9,Python Basics,2020-07-23,
18,10,Python Basics,2020-07-23,82
19,10,Customer Service Excellence,2016-10-09,95
20,11,Sales Negotiation,2023-02-02,63
21,11,Project Management,2018-11-04,79
22,11,Python Basics,2019-04-19,
23,11,Customer Service Excellence,2025-05-28,93
24,12,Python Basics,2021-10-07,95
25,12,Sales Negotiation,2022-03-16,
26,13,Python Basics,2022-06-26,
27,13,Financial Analysis,2021-10-22,
28,14,DEI Workshop,2017-07-19,
29,14,Project Management,2024-06-03,76
30,14,Financial Analysis,2024-07-13,96
31,14,Leadership 101,2021-11-25,61
32,15,Financial Analysis,2024-12-29,85
33,15,DEI Workshop,2023-12-15,63
34,15,Sales Negotiation,2023-03-04,90
35,16,Customer Service Excellence,2021-12-01,80
36,16,Sales Negotiation,2025-03-24,82
37,16,Financial Analysis,2023-05-07,
38,17,Python Basics,2020-03-07,77
39,17,Sales Negotiation,2022-07-06,66
40,19,Project Management,2024-12-09,70
41,19,Data Privacy,2025-03-20,96
42,20,Customer Service Excellence,2023-12-16,92
43,20,Project Management,2024-10-26,79
44,21,Leadership 101,2024-03-30,75
45,21,Data Privacy,2023-06-07,63
46,21,Customer Service Excellence,2022-12-20,98
47,22,Financial Analysis,2020-01-08,76
48,22,Data Privacy,2022-12-01,83
49,22,Leadership 101,2019-04-28,96
50,23,Customer Service Excellence,2017-07-26,88
51,23,Sales Negotiation,2025-04-24,99
52,23,Financial Analysis,2024-05-15,68
53,23,Project Management,2017-10-29,81
54,24,DEI Workshop,2025-04-01,92
55,24,Project Management,2023-09-04,
56,24,Python Basics,2023-12-12,90
57,24,Data Privacy,2025-01-06,98
58,25,Sales Negotiation,2017-12-19,99
59,25,Data Privacy,2024-06-08,97
60,25,Financial Analysis,2019-12-01,92
61,25,Project Management,2022-02-11,96
62,26,Data Privacy,2019-06-13,67
63,26,Project Management,2023-12-07,100
64,28,Data Privacy,2025-01-02,63
65,28,Sales Negotiation,2025-01-15,93
66,28,DEI Workshop,2025-04-18,84
67,28,Financial Analysis,2022-08-06,75
68,30,Python Basics,2024-01-23,86
69,30,Data Privacy,2025-02-12,92
70,30,Leadership 101,2025-05-09,90
71,30,Customer Service Excellence,2025-03-30,68
72,31,Customer Service Excellence,2023-12-17,71
73,31,Financial Analysis,2023-08-04,81
74,31,Sales Negotiation,2024-01-28,76
75,31,Data Privacy,2024-06-07,75
76,32,Financial Analysis,2025-05-14,73
77,32,Python Basics,2025-05-27,80
78,33,DEI Workshop,2018-12-13,96
79,33,Financial Analysis,2023-06-21,85
80,33,Data Privacy,2025-01-22,69
81,34,Leadership 101,2019-03-04,88
82,34,Sales Negotiation,2021-02-28,73
83,35,Financial Analysis,2025-02-01,68
84,37,Customer Service Excellence,2023-07-14,63
85,37,Python Basics,2023-03-07,90
86,37,Leadership 101,2023-03-07,68
87,37,Financial Analysis,2022-11-30,70
88,38,Data Privacy,2017-09-30,78
89,38,Customer Service Excellence,2019-02-11,63
90,38,DEI Workshop,2024-02-18,
91,39,Customer Service Excellence,2019-07-09,71
92,39,Financial Analysis,2017-12-17,85
93,39,DEI Workshop,2023-02-10,
94,39,Leadership 101,2020-10-19,60
95,40,Python Basics,2019-01-31,94
96,40,Sales Negotiation,2021-10-09,68
97,41,Data Privacy,2025-03-07,
98,41,Sales Negotiation,2025-05-11,71
99,41,Python Basics,2024-09-26,78
100,41,Leadership 101,2024-12-26,
101,42,Project Management,2020-03-26,66
102,42,Financial Analysis,2021-05-01,90
103,42,Sales Negotiation,2022-11-21,60
104,43,Project Management,2022-08-03,81
105,43,Python Basics,2021-10-11,96
106,45,DEI Workshop,2019-06-22,
107,45,Data Privacy,2018-02-24,70
108,46,Financial Analysis,2022-04-17,74
109,46,DEI Workshop,2021-06-10,90
110,46,Leadership 101,2020-09-13,98
111,47,Project Management,2025-02-26,73
112,47,DEI Workshop,2023-11-26,98
113,49,Data Privacy,2022-09-14,67
114,49,Financial Analysis,2022-08-12,92
115,49,DEI Workshop,2023-05-27,69
116,49,Sales Negotiation,2023-03-10,93
117,50,Python Basics,2025-02-06,92
118,50,DEI Workshop,2024-04-30,89
119,50,Data Privacy,2022-07-28,89
120,51,Leadership 101,2025-01-10,
121,51,Financial Analysis,2019-10-09,73
122,51,Customer Service Excellence,2023-05-27,
123,51,Sales Negotiation,2021-09-01,64
124,52,Leadership 101,2023-12-24,68
125,52,Data Privacy,2025-04-28,86
126,52,Customer Service Excellence,2024-03-23,84
127,52,Project Management,2024-06-07,84
128,53,Python Basics,2022-11-17,
129,53,DEI Workshop,2020-09-24,
